year,title,artist,number
2010,NU 예삐오 (NU ABO) ,f(x),2667293
2010,Magic ,시크릿,2629049
2010,Change (Feat. 용준형 From Beast) ,현아,2529931
2010,Breathe ,미쓰에이,2948449
2010,본능적으로 (Feat. Swings) ,강승윤,2967751
2010,땡땡땡 ,Supreme Team,2705414
2010,Bubble Love ,MC몽,2596161
2010,잘못했어 ,2am,2609744
2010,널 붙잡을 노래 ,비,2626610
2010,우리 사랑하게 됐어요. ,가인,2511561
2010,별이될께 ,디셈버,2682148
2010,전활 받지 않는 너에게 ,2am,2979880
2010,훗 (Hoot) ,소녀시대 (GIRLS' GENERATION),2987448
2010,아파 (Slow) ,2NE1,2930971
2010,흩어져 ,먼데이 키즈 (Monday Kiz),2650539
2010,Shock ,비스트,2593618
2010,배운게 사랑이라 ,디셈버,2596063
2010,다시 와주라 ,바이브,2680552
2010,이 거지같은 말 (With 정엽 Of 브라운 아이드 소울) ,서영은,2660148
2010,I Need A Girl (Feat. G-dragon) ,태양,2741397
2010,원더우먼 ,씨야,2534748
2010,박수쳐 ,2NE1,2930969
2010,난 너에게 ,다비치,2783260
2010,꺼져 줄게 잘 살아 (Feat. 용준형) ,지나,2759748
2010,처음처럼 ,티아라,2371261
2010,사랑 빛 ,CNBLUE (씨엔블루),2675871
2010,사랑사랑사랑 ,FTISLAND (FT아일랜드),2906349
2010,Push Push (푸시 푸시) ,씨스타,2705407
2011,Roly-Poly ,티아라,3457172
2011,바람났어 (Feat. 박봄) ,GG (박명수 & G-Dragon),3467463
2011,내가 제일 잘 나가 ,2NE1,3452769
2011,비가 오는 날엔 ,비스트,3397448
2011,"TV를 껐네... (Feat. t윤미래, 권정열 Of 10cm) ",리쌍,3527235
2011,So Cool (쏘쿨) ,씨스타,3521672
2011,UGLY ,2NE1,3509751
2011,좋은 날 ,아이유,3051244
2011,살다가 한번쯤 ,포맨 (4MEN),3427926
2011,안녕이라고 말하지마 ,다비치,3536905
2011,그리워 그리워 ,노을,3585793
2011,Good-bye Baby ,미쓰에이,3488849
2011,Hello ,허각,3549031
2011,Hands Up ,2PM,3448185
2011,별빛달빛 ,시크릿,3424822
2011,Hot Summer ,f(x),3440448
2011,Lonely ,2NE1,3397797
2011,압구정 날라리 ,처진 달팽이 (유재석 & 이적),3467466
2011,끝사랑 ,김범수,3436083
2011,Be My Baby ,원더걸스,3600223
2011,The Boys ,소녀시대 (GIRLS' GENERATION),3565193
2011,서쪽 하늘 ,울랄라세션,3593455
2011,동경소녀 ,버스커 버스커,3565240
2011,Fiction ,비스트,3403761
2011,제발 ,김범수,3337773
2011,Don't Cry ,박봄 (Park Bom),3373007
2011,샤이보이 ,시크릿,3089448
2011,Bubble Pop! ,현아,3468048
2011,Black & White ,지나,3111583
2011,회상 (Feat. 백지영) ,리쌍,3534943
2011,톡톡 (Tok Tok) (Feat. SOYA) ,마이티 마우스,3110565
2011,Hate You ,2NE1,3488750
2011,Cry Cry ,티아라,3607859
2011,TONIGHT ,BIGBANG (빅뱅),3156950
2011,Oh Yeah (Feat. 박봄) ,GD&TOP,3065250
2011,Ma Boy (마보이) ,씨스타19,3385548
2011,나만 몰랐던 이야기 ,아이유,3143550
2011,여우야 ,투개월,3565243
2011,반짝반짝 ,걸스데이,3319849
2011,Sixth Sense ,브라운아이드걸스,3557196
2011,사랑은 Move ,시크릿,3573326
2011,내꺼중에 최고 ,이현,3138749
2011,High High ,GD&TOP,3065249
2011,달의 몰락 ,울랄라세션,3565242
2011,죽고 싶단 말 밖에 ,허각,3602154
2011,연애시대 (Feat. Ra.D) (Narr. 한효주) ,이승기,3573175
